Date,incidents
,0
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
,1
-4709-06-16,1
1950-01-01,1
1978-06-01,1
1984-03-13,1
1985-01-01,1
1991-07-26,1
1991-12-31,1
1993-07-07,1
1995-01-01,1
1997-01-01,1
1998-01-01,1
2000-02-24,1
2000-04-08,1
2000-04-09,1
2000-06-02,1
2000-06-29,1
2000-07-31,1
2000-09-06,1
2000-09-07,1
2000-10-01,1
2000-10-30,1
2000-11-29,1
2000-12-16,1
2001-03-14,1
2001-06-01,1
2001-11-21,1
2002-01-31,1
2002-02-27,1
2002-03-22,1
2003-02-01,1
2003-06-01,1
2004-01-17,1
2004-03-28,1
2004-06-07,1
2004-08-24,1
2005-01-01,2
2005-01-03,1
2005-01-27,1
2005-02-01,1
2005-02-04,1
2005-03-30,2
2005-04-26,1
2005-05-10,1
2005-05-11,1
2005-06-07,1
2005-06-13,1
2005-08-11,1
2005-09-28,1
2005-10-03,1
2005-10-30,1
2005-10-31,1
2005-11-10,1
2005-11-17,1
2005-11-22,1
2005-11-25,1
2005-12-01,1
2005-12-10,2
2005-12-12,1
2005-12-15,1
2005-12-21,1
2005-12-22,1
2005-12-23,1
2005-12-28,1
2005-12-29,1
2005-12-30,2
2005-12-31,53
2006-01-01,24
2006-01-02,39
2006-01-03,25
2006-01-04,23
2006-01-05,19
2006-01-06,25
2006-01-07,11
2006-01-08,9
2006-01-09,24
2006-01-10,29
2006-01-11,23
2006-01-12,20
2006-01-13,30
2006-01-14,19
2006-01-15,19
2006-01-16,18
2006-01-17,15
2006-01-18,21
2006-01-19,22
2006-01-20,19
2006-01-21,13
2006-01-22,15
2006-01-23,23
2006-01-24,24
2006-01-25,17
2006-01-26,22
2006-01-27,13
2006-01-28,18
2006-01-29,10
2006-01-30,22
2006-01-31,18
2006-02-01,20
2006-02-02,19
2006-02-03,20
2006-02-04,16
2006-02-05,11
2006-02-06,30
2006-02-07,31
2006-02-08,25
2006-02-09,19
2006-02-10,19
2006-02-11,17
2006-02-12,16
2006-02-13,23
2006-02-14,20
2006-02-15,20
2006-02-16,13
2006-02-17,37
2006-02-18,13
2006-02-19,18
2006-02-20,14
2006-02-21,21
2006-02-22,19
2006-02-23,19
2006-02-24,19
2006-02-25,11
2006-02-26,7
2006-02-27,30
2006-02-28,38
2006-03-01,23
2006-03-02,24
2006-03-03,32
2006-03-04,15
2006-03-05,22
2006-03-06,24
2006-03-07,16
2006-03-08,31
2006-03-09,14
2006-03-10,20
2006-03-11,20
2006-03-12,8
2006-03-13,23
2006-03-14,15
2006-03-15,23
2006-03-16,25
2006-03-17,17
2006-03-18,25
2006-03-19,18
2006-03-20,18
2006-03-21,11
2006-03-22,20
2006-03-23,18
2006-03-24,16
